Model,Model Seed,Evaluation,Attack,Attack Source Seed,Accuracy
parameters_block1,46,clean,clean,,0.8597
parameters_block1,46,whitebox,fgsm,46,0.0543
parameters_block1,46,whitebox,pgd10,46,0.0003
parameters_block1,46,whitebox,pgd50,46,0.0
parameters_block1,46,transfer,fgsm,42,0.2428
parameters_block1,46,transfer,pgd10,42,0.2077
parameters_block1,46,transfer,fgsm,43,0.2609
parameters_block1,46,transfer,pgd10,43,0.2548
parameters_block1,46,transfer,fgsm,44,0.2592
parameters_block1,46,transfer,pgd10,44,0.2313
parameters_block1,46,transfer,fgsm,45,0.269
parameters_block1,46,transfer,pgd10,45,0.24
parameters_blocks,46,clean,clean,,0.8555
parameters_blocks,46,whitebox,fgsm,46,0.0463
parameters_blocks,46,whitebox,pgd10,46,0.0004
parameters_blocks,46,whitebox,pgd50,46,0.0002
parameters_blocks,46,transfer,fgsm,42,0.2169
parameters_blocks,46,transfer,pgd10,42,0.167
parameters_blocks,46,transfer,fgsm,43,0.2411
parameters_blocks,46,transfer,pgd10,43,0.2274
parameters_blocks,46,transfer,fgsm,44,0.2489
parameters_blocks,46,transfer,pgd10,44,0.2141
parameters_blocks,46,transfer,fgsm,45,0.2391
parameters_blocks,46,transfer,pgd10,45,0.2133
